date,title,price,weight,kind,site,location
2022-08-24 06:34:09, 떨이농산 막 드릴게요 햇 홍로 사과 실중량 8kg 꼬마~소과 ,32900,8,홍로,Gmarket,
2022-08-24 06:34:11, 경북 사과 홍로사과 4kg 27과내외 ,15900,4,홍로,Gmarket,경상남도
2022-08-24 06:34:13, 꿀사과 5kg (21-25과내외)/2022 홍로 꿀사과/실속형특품 ,25390,5,홍로,Gmarket,
2022-08-24 06:34:15, e경남몰밀양 사과 선물세트 2호 4.5kg(12-13과) ,81300,4.5,,Gmarket,경상남도
2022-08-24 06:34:17, e경남몰밀양 사과 선물세트 1호 4.5kg(9-11과) ,87500,4.5,,Gmarket,경상남도
2022-08-24 06:34:20, e경남몰밀양 실속혼합 과일선물세트 5호 (사과 350g 4과 / 배 700g 1과) ,43700,,,Gmarket,경상남도
2022-08-24 06:34:23, e경남몰밀양 실속혼합 과일선물세트 4호 (사과 350g 3과 / 배 700g 3과) ,50000,,,Gmarket,경상남도
2022-08-24 06:34:27, e경남몰밀양 오과혼합세트 2호(사과 380g이상 3과 / 배 700g 1과/대추 250g/밤 400g/곶감 7-10과) ,68800,,,Gmarket,경상남도
2022-08-24 06:34:30, e경남몰밀양 오과혼합세트 1호 (사과 380g이상 5과/배 700g 3과/대추 250g/밤 400g/곶감 7-10과) ,87500,,,Gmarket,경상남도
2022-08-24 06:34:33, e경남몰밀양 혼합 과일선물세트 3호 5kg (사과 330g 8과 / 배600g 4-5과) ,75000,5,,Gmarket,경상남도
2022-08-24 06:34:37, e경남몰밀양 혼합 과일선물세트 2호 5kg (사과 380g 6과 / 배700g 4-5과) ,87500,5,,Gmarket,경상남도
2022-08-24 06:34:41, 양구 햇사과 홍로사과 여름사과 명풍 홍로사과 5kg 한입 24-27과 ,27500,5,홍로,Gmarket,인천광역시
2022-08-24 06:34:45, 2080 자일리톨 키즈 사과향 치약 80g x 10개 (8세이상) ,11900,,,Gmarket,
2022-08-24 06:34:48, 경북 영주 산지직송 햇 홍로 사과 5kg 중과(18-20과) ,36500,5,홍로,Gmarket,경상남도
2022-08-24 06:34:49, 사과 선물세트 4kg내외(18과내외)실속형/명절선물 ,37900,4,,Gmarket,
2022-08-24 06:34:54, 명품 사과 선물세트 12개입 5.8kg 보자기포장 / 설 추석 명절 제수용 과일 ,85000,5.8,,Gmarket,
